POSTCODE,POPULATION,FIREARMS,FIREARMS_PER_1000
2739,1414,429,303.39
2745,31847,4775,149.94
2747,54397,4057,74.58
2748,1798,636,353.73
2749,17029,2461,144.52
2750,49204,3612,73.41
2752,5747,1546,269.01
2753,17587,4309,245.01
2754,7065,1331,188.39
2756,35328,8639,244.54
2757,850,337,396.47
2758,8848,3475,392.74
2759,26434,2167,81.98
2760,37632,2054,54.58
2761,34702,1041,30.00
2762,21780,510,23.42
2763,33197,1383,41.66
2765,45613,3784,82.96
2766,17047,545,31.97
2767,23384,699,29.89
2768,28864,800,27.72
2769,16315,289,17.71
2770,61494,2494,40.56
2773,5978,465,77.79
2774,13010,1310,100.69
2775,1518,427,281.29
2776,4156,471,113.33
2777,17816,1990,111.70
2778,2425,336,138.56
2779,5077,804,158.36
2780,13348,953,71.40
2782,6428,496,77.16
2783,2651,256,96.57
2784,1300,110,84.62
2785,4822,558,115.72
2786,1178,145,123.09
2787,4605,2912,632.36
2790,15452,5290,342.35
2791,322,340,1055.90
2792,386,392,1015.54
2793,1074,1039,967.41
2794,10504,5056,481.34
2795,45077,17026,377.71
2797,434,569,1311.06
2798,2193,1563,712.72
2799,4156,2270,546.20
2800,48283,13224,273.89
2803,286,352,1230.77
2804,2832,1702,600.99
2805,408,477,1169.12
2806,862,549,636.89
2807,450,347,771.11
2808,216,211,976.85
2809,202,130,643.56
2810,3132,2521,804.92
2817,359,385,1072.42
2818,849,679,799.76
2820,7378,3616,490.11
2821,4778,2876,601.93
2822,433,464,1071.59
2823,1340,1049,782.84
2824,2055,1800,875.91
2825,2202,1922,872.84
2826,178,328,1842.70
2827,3678,2492,677.54
2828,798,790,989.97
2829,2965,2036,686.68
2830,44963,15591,346.75
2831,1845,2456,1331.17
2832,2149,1558,724.99
2833,634,465,733.44
2834,1984,847,426.92
2835,3793,3128,824.68
2836,895,870,972.07
2838,223,96,430.49
2839,1079,639,592.22
2840,2389,1858,777.73
2842,720,908,1261.11
2843,1262,1198,949.29
2844,1312,1211,923.02
2845,2019,651,322.44
2846,253,400,1581.03
2847,2447,1060,433.18
2848,1540,685,444.81
2849,1610,2083,1293.79
2850,19146,12895,673.51
2852,3734,3201,857.26
2864,824,835,1013.35
2865,927,781,842.50
2866,3112,2704,868.89
2867,636,518,814.47
2868,579,715,1234.89
2869,1528,947,619.76
2870,12036,5274,438.19
2871,8965,4772,532.29
2873,560,946,1689.29
2874,369,494,1338.75
2875,802,664,827.93
2876,494,546,1105.26
2877,3575,2615,731.47
2878,286,539,1884.62
2879,577,519,899.48
2880,18097,7325,404.76
2898,445,62,139.33
3644,N/A,578,
3691,N/A,29,
3707,N/A,35,
4375,N/A,3,
4377,N/A,26,
4380,N/A,55,
4383,N/A,110,
4385,N/A,71,
